Deal Status,Customer ID,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,PT Status,PT Serial ,Encore Serial,Moving,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,101726 ,Truck,2023,579 Sleeper Truck,855486,  Available,68.33%,1x passtime,Driving disabled,Enabled,66762231,82190469,1,2025-12-05 09:27:00,TX,Terrell, 75161,35.057052,-96.244518
ACTIVE,107759 ,Truck,2022,Cascadia PT126SLP,NE7518,  Available,86.36%,2x encores,"1x discharged
1x never installed",Enabled,26317444,82152780,1,2025-12-04 22:25:00,LA,Lela, 79079,35.226762,-100.32775
ACTIVE,108129 ,Trailer,2022,DVHDHPC 53',264779,  Out for Repo,66.57%,All,2x uninstalled,"",,84230110,-1,2025-12-05 01:12:00,CA,San Bernardino County, 92407,34.169125,-117.305093
ACTIVE,108302 ,Truck,2019,Cascadia PT126SLP,JZ1153,  Available,90.48%,1x encore,Never installed,Enabled,26331759,82218238,1,2025-12-04 20:49:00,OH,Union Township, 45338,39.94052,-82.534132
ACTIVE,108402 ,Full Van,2021,Sprinter,078663,  Out for Repo,35.30%,All,Driving disabled,Disabled,26331753,83040996,1,2025-12-03 21:24:00,NY,New York, 10019,40.76324,-73.979525
ACTIVE,108574 ,Truck,2020,Cascadia PT126SLP,LM5433,  Available,90.48%,2x encores,"1x no signal
1x mid battery",Enabled,26342437,83017834,1,2025-12-05 08:48:00,CA,Santa Fe Springs, 90670,33.908195,-118.042155
ACTIVE,108962 ,Truck,2023,T680 Tractor,251447,  Available,61.67%,2x encores,"1x never installed
1x mid battery",Enabled,26342436,83017435,1,2025-12-04 17:31:00,IN,Indianapolis, 46239,39.746793,-86.037077
ACTIVE,111365 ,Truck,2023,Cascadia PT126SLP,ND7969,  Available,64.81%,Fully Working,Properly working,Enabled,66762130,83051794,1,2025-12-05 07:37:00,AZ,Yavapai County, 85353,34.03259,-112.246305
ACTIVE,117006 ,Full Van,2020,Sprinter,023501,  Out for Repo,-0.10%,All,no GPS,"",,82220915,-1,2025-12-04 15:55:00,NY,New York, 10473,40.813618,-73.86289
ACTIVE,117052 ,SUV,2023,Escalade,250854,  Available,68.75%,1x encore,Never installed,Enabled,66715337,83131012,-1,2025-12-05 01:53:00,NJ,Elizabeth, 07008,40.647924,-74.2053012
