Installation Company,Email,Phone,State,Zip,City,Notes
CB Direct,rect.net,866-716-,Alabama (AL),35007,Alabaster,
CB Direct,rect.net,866-716-,Alabama (AL),35242,Birmingham,
CB Direct,rect.net,866-716-,Alabama (AL),36535,Foley,
CB Direct,rect.net,866-716-,Alabama (AL),36870,Montgomery,
CB Direct,rect.net,866-716-,Alabama (AL),35218,Pell City,
Field Evolution,tion.com,614-600-,Alabama (AL),35490,Vance,$125 trip fee
TSCMUSA,musa.com,629-254-,Arizona (AZ),85029,Phoenix,
CB Direct,rect.net,866-716-,Arizona (AZ),85281,Tempe,
Don,mail.com,(480) 48,Arizona (AZ),N/A,Phoenix,Works w/ Jason (480-915-5602); negotiated $300
Field Evolution,tion.com,614-600-,Arizona (AZ),85029,Phoenix,$125 trip fee
Manuel Parada (Independent),mail.com,720-292-,Arizona (AZ),N/A,N/A,
Metro Mobile Electronics Inc.,egps.com,866-246-,Arizona (AZ),85001,Phoenix,
Metro Mobile Electronics Inc.,egps.com,866-246-,Arizona (AZ),85140,Phoenix,
Metro Mobile Electronics Inc.,egps.com,866-246-,Arizona (AZ),85140,San Tan Valley,
TSCMUSA,musa.com,629-254-,Arizona (AZ),85142,Queen Creek,
TSCMUSA,musa.com,629-254-,Arkansas (AR),72801,Russellville,
CB Direct,rect.net,866-716-,Arkansas (AR),72211,Little Rock,
Ryan Brinkley,mail.com,(901) 43,Arkansas (AR),72301,West Memphis,
CB Direct,rect.net,866-716-,California (CA),92277,29 Palms,
Field Evolution,tion.com,614-600-,California (CA),91801,Alhambra,$125 trip fee
Metro Mobile Electronics Inc.,egps.com,866-246-,California (CA),92805,Anaheim,
James Hernandez,mail.com,323-392-,California (CA),N/A,Bakersfield,
CB Direct,rect.net,866-716-,California (CA),91902,Bonita,
Metro Mobile Electronics Inc.,egps.com,866-246-,California (CA),92626,Costa Mesa,
CB Direct,rect.net,866-716-,California (CA),91010,Duarte,
559 Car Stereo & Alarm (Sarkis Topalian),mail.com,559-515-,California (CA),N/A,Fontana,
Alexander Stein (Independent),N/A,505-728-,California (CA),N/A,Fontana,
CB Direct,rect.net,866-716-,California (CA),92335,Fontana,
Cesar Murillo (Muritronix),onix.com,559-718-,California (CA),N/A,Fontana,
Edward Ramos,llds.com,916-275-,California (CA),N/A,Fontana,Possibly same as Eric Ramos? (duplicate email)
James Hernandez (Independent),mail.com,323-393-,California (CA),N/A,Fontana,
559 Car Stereo & Alarm (Sarkis Topalian),mail.com,559-515-,California (CA),N/A,Fresno,
CB Direct,rect.net,866-716-,California (CA),93706,Fresno,
Cesar Murillo (Muritronix),onix.com,559-718-,California (CA),N/A,Fresno,
J s Alarm & Car Audio (Jason Sanchez),mail.com,559-470-,California (CA),N/A,Fresno,
One Call DS (Elaine),llds.com,209-597-,California (CA),N/A,Fresno,
James Hernandez,mail.com,323-392-,California (CA),N/A,Fresno,
Jason Sanchez,mail.com,559-470-,California (CA),N/A,"Fresno, Fontana",(Duplicate mention)
Matthew Zuniga,N/A,559-270-,California (CA),N/A,"Fresno, Fontana",(Duplicate mention)
CB Direct,rect.net,866-716-,California (CA),90247,Gardena,
CB Direct,rect.net,866-716-,California (CA),94544,Hayward,
TSCMUSA,musa.com,629-254-,California (CA),95240,Lodi,
CB Direct,rect.net,866-716-,California (CA),90065,Los Angeles,
CB Direct,rect.net,866-716-,California (CA),91746,Los Angeles,
One Call DS (Elaine),llds.com,209-597-,California (CA),N/A,Los Angeles,
