Deal Status,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,Moving (Calc),PT Status,PT Serial ,Encore Serial,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,Full Van,2020,Sprinter,023501,  Out for Repo,-0.10%,All,no GPS,-1,"",,82220915,2025-12-04 03:25:00,NY,New York City, 10473,40.813677,-73.863108
ACTIVE,Full Van,2021,Sprinter,013840,  Available,86.67%,2x encores,"1x discharging
1x never installed",-1,Enabled,66254268,82067988,2025-12-03 16:51:00,NY,New York, 10033,40.85197,-73.92858
ACTIVE,Full Van,2021,Sprinter,078663,  Out for Repo,35.30%,All,Driving disabled,1,Disabled,26331753,83040996,2025-12-03 21:24:00,NY,New York, 10019,40.76324,-73.979525
ACTIVE,Full Van,2024,Transit 350 HD,B85751,  Available,16.35%,1x passtime,Driving disabled,1,Enabled,26736735,84276241,2025-12-04 07:30:00,NY,Valley Stream, 11580,40.725932,-73.726122
ACTIVE,Sedan,2018,GLS Class,179563,  Available,93.75%,1x encore,Never installed,-1,Enabled,26317206,82144679,2025-12-04 05:00:00,NY,East Meadow, 11554,40.719628,-73.550342
ACTIVE,Sedan,2023,Model Y,907471,  Available,45.19%,Fully Working,Properly working,-1,"",,83641005,2025-12-04 07:07:00,NY,New York, 10456,40.8294363,-73.913342
ACTIVE,Sedan,2023,Model Y,921871,  Available,44.23%,1x passtime,Never installed,1,"",,84321729,2025-12-04 11:29:00,NY,New York, 11222,40.7592895,-73.945573
ACTIVE,SUV,2021,Expedition Max,A25263,  Available,75.00%,1x encore,Never installed,1,Enabled,26719104,83221498,2025-12-04 02:48:00,NY,Ozone Park, 11416,40.688528,-73.839143
ACTIVE,SUV,2023,Escalade,217350,  Available,70.83%,1x encore,Never installed,-1,Enabled,26342495,83108804,2025-12-04 03:28:00,NJ,East Orange, 07018,40.756913,-74.230688
ACTIVE,SUV,2023,Escalade,250854,  Available,68.75%,1x encore,Never installed,-1,Enabled,66715337,83131012,2025-12-04 00:49:00,NJ,Jersey City, 07310,40.731425,-74.038305
ACTIVE,SUV,2024,Escalade,197049,  Available,27.88%,1x passtime,Driving disabled,-1,Enabled,66752502,84230270,2025-12-04 10:44:00,NJ,Nutley, 07110,40.927312,-73.98689
ACTIVE,SUV,2024,XT6,738325,  Available,38.89%,1x passtime,Disconnected,-1,Enabled,26736682,84230276,2025-12-04 10:33:00,NJ,Clifton, 07011,40.888513,-74.150683
ACTIVE,SUV,2025,Escalade ESV,193382,  Available,14.58%,1x passtime,Driving disabled,-1,Enabled,66762309,84276306,2025-12-04 05:59:00,NY,New York, 11369,40.763677,-73.871135
ACTIVE,Trailer,2013,53 Foot Refrigerated,703800,  Available,79.17%,Fully Working,Properly working,1,"",,83642353,2025-12-03 23:25:00,NY,Stanley, 14424,42.863435,-77.1514837
ACTIVE,Trailer,2017,Refeer,004349,  Available,43.33%,Fully Working,Properly working,-1,"",,84230109,2025-12-03 17:20:00,CA,Fresno, 93725,36.718668,-119.747232
ACTIVE,Trailer,2017,RFALHS,978594,  Available,45.83%,Fully Working,Properly working,-1,"",,84308372,2025-12-04 07:34:00,FL,Daytona Beach, 32114,29.207292,-81.083835
ACTIVE,Trailer,2020,W/Carrier 7300X Reefer,160385,  Available,33.33%,Fully Working,Properly working,-1,"",,84090966,2025-12-04 06:33:00,AL,DeKalb, 60115,41.90031,-88.741358
ACTIVE,Trailer,2022,Dry Van,306009,  Available,63.89%,Fully Working,Properly working,1,"",,84321708,2025-12-04 11:23:00,KY,Seymour, 47274,38.953778,-85.72545
ACTIVE,Trailer,2022,DVHDHPC 53',264779,  Out for Repo,66.57%,All,2x uninstalled,-1,"",,84230110,2025-12-04 00:12:00,CA,San Bernardino, 92407,34.168915,-117.305017
ACTIVE,Trailer,2022,Reefer W/S-600 TK Unit,408211,  Available,41.67%,Fully Working,Properly working,1,"",,84090821,2025-12-04 05:19:00,AL,El Reno, 73036,35.512252,-97.989273
ACTIVE,Truck,2018,Cascadia,JR0413,  Available,45.83%,Fully Working,Properly working,1,Enabled,26736966,84308280,2025-12-04 04:09:00,TX,Kirkland, 79118,35.191202,-100.082867
ACTIVE,Truck,2018,Cascadia,JR1073,  Available,50.00%,Fully Working,Properly working,1,Enabled,26736739,84230261,2025-12-04 10:21:00,PA,Tunkhannock Township, 62411,41.073812,-75.482193
ACTIVE,Truck,2018,Cascadia PT126SLP,JH6734,  Available,38.46%,Fully Working,Properly working,1,Enabled,26317399,82153152,2025-12-04 09:27:00,AL,Dothan, 36303,31.247103,-85.380045
ACTIVE,Truck,2018,Cascadia PT126SLP,JJ1988,  Available,50.00%,Fully Working,Properly working,1,Disabled,26737325,82218143/84056383,2025-12-04 10:47:00,OH,Westerville, 43140,40.668832,-74.1922
ACTIVE,Truck,2018,Cascadia PT126SLP,JW4046,  Available,75.00%,1x passtime,Disconnected,1,Enabled,26704406,84027695,2025-12-04 00:37:00,CA,Salinas, 93901,36.65743,-121.634883
ACTIVE,Truck,2018,Cascadia PT126SLP,JW4076,  Available,58.33%,Fully Working,Properly working,1,Enabled,66743539,84230227,2025-12-04 07:17:00,WY,Evanston,Y  USA,41.264982,-110.914583
ACTIVE,Truck,2018,Casscadia EVO,JH1174,  Available,61.11%,Fully Working,Properly working,-1,Enabled,26737333,84056622,2025-12-04 03:45:00,NJ,East Windsor, 08520,40.217053,-74.545728
ACTIVE,Truck,2019,Cascadia,JY8624,  Available,58.33%,Fully Working,Properly working,1,Enabled,26704858,83611758,2025-12-04 00:57:00,WY,Sweetwater County, 84018,41.706323,-107.826237
ACTIVE,Truck,2019,Cascadia,KB5440,  Available,27.88%,Fully Working,Properly working,1,Enabled,66753837,84276220,2025-12-04 07:02:00,NE,Wanship, 89822,40.806863,-99.537712
ACTIVE,Truck,2019,Cascadia,KJ0493,  Available,54.17%,1x passtime,Driving disabled,1,Enabled,26736711,84230136,2025-12-04 07:36:00,NM,Moriarty, 87035,35.403622,-106.028625
ACTIVE,Truck,2019,Cascadia 125 SL,KG9551,  Available,45.83%,Fully Working,Properly working,1,Enabled,26737232,84090892,2025-12-04 08:18:00,MD,Baltimore, 21224,39.275048,-76.548838
ACTIVE,Truck,2019,Cascadia 125 SL,KN5610,  Available,26.92%,2x encores,Repair Shop,1,Enabled,66762108,84276211,2025-12-04 10:56:00,CA,Ceres, 95307,37.579235,-120.977957
ACTIVE,Truck,2019,Cascadia PT126SLP,JZ1153,  Available,90.48%,1x encore,Never installed,1,Enabled,26331759,82218238,2025-12-04 09:19:00,CA,Union Township, 43025,39.940567,-82.534047
ACTIVE,Truck,2019,Cascadia PT126SLP,KD2241,  Available,46.67%,Fully Working,Properly working,-1,Enabled,26714151,82144820,2025-12-04 07:23:00,TX,Oklahoma City, 79226,35.501367,-97.812077
ACTIVE,Truck,2019,Cascadia PT126SLP,KD2303,  Available,50.00%,1x passtime,Removed from vehicle,-1,Enabled,26737359,82144590,2025-12-03 15:46:00,UT,West Valley City, 84120,40.71951,-112.021377
ACTIVE,Truck,2019,Cascadia PT126SLP,KE3894,  Available,23.08%,Fully Working,Properly working,1,Enabled,66771885,84321728,2025-12-04 11:16:00,OH,Liberty, 64068,39.854447,-84.361295
